score: 2442.0, reward: 20.0, states: 1442, train_cnt: 4, mutation_cnt: 0
score: 2572.9305555555557, reward: 19.29861111111111, states: 1608, train_cnt: 4, mutation_cnt: 0
score: 2428.0069444444443, reward: 18.92013888888889, states: 1482, train_cnt: 4, mutation_cnt: 0
score: 2368.0162037037035, reward: 19.480324074074073, states: 1394, train_cnt: 4, mutation_cnt: 1
score: 2445.0, reward: 20.0, states: 1445, train_cnt: 4, mutation_cnt: 0
score: 2360.9421296296296, reward: 17.99884259259259, states: 1461, train_cnt: 4, mutation_cnt: 0
score: 2300.0046296296296, reward: 14.280092592592595, states: 1586, train_cnt: 4, mutation_cnt: 1
score: 2554.0, reward: 20.0, states: 1554, train_cnt: 5, mutation_cnt: 1
score: 2490.0, reward: 20.0, states: 1490, train_cnt: 5, mutation_cnt: 0
score: 2557.0416666666665, reward: 19.520833333333332, states: 1581, train_cnt: 5, mutation_cnt: 0
score: 2234.909722222222, reward: 12.538194444444443, states: 1608, train_cnt: 5, mutation_cnt: 1
score: 2474.7314814814818, reward: 19.75462962962963, states: 1487, train_cnt: 5, mutation_cnt: 0
score: 2443.0, reward: 20.0, states: 1443, train_cnt: 5, mutation_cnt: 0
score: 2465.0, reward: 20.0, states: 1465, train_cnt: 5, mutation_cnt: 0
score: 2454.458333333333, reward: 19.229166666666664, states: 1493, train_cnt: 5, mutation_cnt: 0
score: 2318.490740740741, reward: 18.189814814814813, states: 1409, train_cnt: 5, mutation_cnt: 1
score: 2441.0, reward: 20.0, states: 1441, train_cnt: 5, mutation_cnt: 0
score: 2524.7314814814818, reward: 19.75462962962963, states: 1537, train_cnt: 5, mutation_cnt: 1
score: 2511.0, reward: 20.0, states: 1511, train_cnt: 6, mutation_cnt: 1
score: 2445.5949074074074, reward: 19.49189814814815, states: 1471, train_cnt: 6, mutation_cnt: 0
score: 2442.0, reward: 20.0, states: 1442, train_cnt: 6, mutation_cnt: 1
score: 2473.127314814815, reward: 19.702546296296294, states: 1488, train_cnt: 6, mutation_cnt: 0
score: 2476.0, reward: 20.0, states: 1476, train_cnt: 6, mutation_cnt: 0
score: 2531.0, reward: 20.0, states: 1531, train_cnt: 6, mutation_cnt: 1
score: 2467.7060185185182, reward: 19.71412037037037, states: 1482, train_cnt: 6, mutation_cnt: 0
score: 2433.4745370370374, reward: 18.709490740740744, states: 1498, train_cnt: 6, mutation_cnt: 0
score: 2398.9953703703704, reward: 19.71990740740741, states: 1413, train_cnt: 6, mutation_cnt: 1
score: 2477.0, reward: 20.0, states: 1477, train_cnt: 6, mutation_cnt: 0
score: 2485.0162037037035, reward: 19.480324074074073, states: 1511, train_cnt: 6, mutation_cnt: 1
score: 2513.0, reward: 20.0, states: 1513, train_cnt: 7, mutation_cnt: 1
score: 1426.0, reward: 0.0, states: 1426, train_cnt: 0, mutation_cnt: 0
score: 1374.763888888889, reward: 0.2152777777777778, states: 1364, train_cnt: 0, mutation_cnt: 0
score: 762.0, reward: 0.0, states: 762, train_cnt: 0, mutation_cnt: 0
score: 2053.0, reward: 0.0, states: 2053, train_cnt: 0, mutation_cnt: 0
score: 1296.0, reward: 0.0, states: 1296, train_cnt: 0, mutation_cnt: 0
score: 1287.0, reward: 0.0, states: 1287, train_cnt: 0, mutation_cnt: 0
score: 1352.0, reward: 0.0, states: 1352, train_cnt: 0, mutation_cnt: 0
score: 1195.9444444444443, reward: 1.1388888888888886, states: 1139, train_cnt: 0, mutation_cnt: 0
score: 2437.555555555555, reward: 3.611111111111106, states: 2257, train_cnt: 0, mutation_cnt: 0
score: 1474.900462962963, reward: 4.478009259259262, states: 1251, train_cnt: 0, mutation_cnt: 0
score: 1912.511574074074, reward: 8.950231481481481, states: 1465, train_cnt: 1, mutation_cnt: 0
score: 2180.9224537037035, reward: 10.558449074074074, states: 1653, train_cnt: 1, mutation_cnt: 0
score: 2138.678240740741, reward: 15.033564814814815, states: 1387, train_cnt: 1, mutation_cnt: 0
score: 1594.4305555555557, reward: 7.048611111111111, states: 1242, train_cnt: 1, mutation_cnt: 0
score: 2226.0462962962965, reward: 16.300925925925927, states: 1411, train_cnt: 1, mutation_cnt: 0
score: 1993.4212962962965, reward: 8.48842592592593, states: 1569, train_cnt: 1, mutation_cnt: 0
score: 2295.1157407407404, reward: 15.002314814814811, states: 1545, train_cnt: 1, mutation_cnt: 0
score: 2163.715277777778, reward: 11.774305555555559, states: 1575, train_cnt: 1, mutation_cnt: 0
score: 2061.2731481481483, reward: 12.525462962962964, states: 1435, train_cnt: 1, mutation_cnt: 0
score: 3844.5254629629626, reward: 8.79050925925925, states: 3405, train_cnt: 1, mutation_cnt: 0
score: 2547.3425925925926, reward: 16.22685185185185, states: 1736, train_cnt: 2, mutation_cnt: 0
score: 2331.0694444444443, reward: 15.201388888888886, states: 1571, train_cnt: 2, mutation_cnt: 0
score: 1963.3611111111113, reward: 12.847222222222223, states: 1321, train_cnt: 2, mutation_cnt: 1
score: 2435.0, reward: 20.0, states: 1435, train_cnt: 2, mutation_cnt: 0
score: 2050.400462962963, reward: 13.728009259259258, states: 1364, train_cnt: 2, mutation_cnt: 0
score: 2510.372685185185, reward: 19.047453703703702, states: 1558, train_cnt: 2, mutation_cnt: 0
score: 2453.1736111111113, reward: 19.50347222222222, states: 1478, train_cnt: 2, mutation_cnt: 0
score: 2394.7175925925926, reward: 18.91435185185185, states: 1449, train_cnt: 2, mutation_cnt: 0
score: 2456.321759259259, reward: 18.966435185185187, states: 1508, train_cnt: 2, mutation_cnt: 0
score: 2391.574074074074, reward: 19.73148148148148, states: 1405, train_cnt: 2, mutation_cnt: 0
score: 3625.567129629629, reward: 10.311342592592585, states: 3110, train_cnt: 2, mutation_cnt: 0
score: 2419.449074074074, reward: 18.66898148148148, states: 1486, train_cnt: 3, mutation_cnt: 0
score: 2272.7337962962965, reward: 15.394675925925926, states: 1503, train_cnt: 3, mutation_cnt: 1
score: 2441.0, reward: 20.0, states: 1441, train_cnt: 3, mutation_cnt: 0
score: 2559.909722222222, reward: 19.538194444444446, states: 1583, train_cnt: 3, mutation_cnt: 0
score: 2433.4328703703704, reward: 19.18865740740741, states: 1474, train_cnt: 3, mutation_cnt: 0
score: 2444.0, reward: 20.0, states: 1444, train_cnt: 3, mutation_cnt: 0
score: 2457.7314814814818, reward: 19.75462962962963, states: 1470, train_cnt: 3, mutation_cnt: 0
score: 2441.8796296296296, reward: 19.21759259259259, states: 1481, train_cnt: 3, mutation_cnt: 0
score: 2381.296296296296, reward: 18.925925925925924, states: 1435, train_cnt: 3, mutation_cnt: 0
score: 2470.0, reward: 20.0, states: 1470, train_cnt: 3, mutation_cnt: 0
score: 2475.3055555555557, reward: 19.48611111111111, states: 1501, train_cnt: 4, mutation_cnt: 0
score: 2328.8472222222217, reward: 17.25694444444444, states: 1466, train_cnt: 4, mutation_cnt: 1
score: 2439.0, reward: 20.0, states: 1439, train_cnt: 4, mutation_cnt: 0
score: 2457.0162037037035, reward: 19.480324074074073, states: 1483, train_cnt: 4, mutation_cnt: 0
score: 2476.4421296296296, reward: 19.74884259259259, states: 1489, train_cnt: 4, mutation_cnt: 0
score: 2546.1712962962965, reward: 17.863425925925927, states: 1653, train_cnt: 4, mutation_cnt: 1
score: 2445.4421296296296, reward: 19.74884259259259, states: 1458, train_cnt: 4, mutation_cnt: 0
score: 2510.310185185185, reward: 19.766203703703706, states: 1522, train_cnt: 4, mutation_cnt: 0
score: 2481.0162037037035, reward: 19.480324074074073, states: 1507, train_cnt: 4, mutation_cnt: 0
score: 2397.590277777778, reward: 19.211805555555554, states: 1437, train_cnt: 4, mutation_cnt: 0
score: 2493.0, reward: 20.0, states: 1493, train_cnt: 4, mutation_cnt: 0
score: 2435.1805555555557, reward: 18.42361111111111, states: 1514, train_cnt: 5, mutation_cnt: 0
score: 2269.0, reward: 14.5, states: 1544, train_cnt: 5, mutation_cnt: 1
score: 2296.4166666666665, reward: 16.708333333333332, states: 1461, train_cnt: 5, mutation_cnt: 1
score: 2440.0, reward: 20.0, states: 1440, train_cnt: 5, mutation_cnt: 0
score: 2480.4166666666665, reward: 19.708333333333332, states: 1495, train_cnt: 5, mutation_cnt: 0
score: 2533.5949074074074, reward: 19.49189814814815, states: 1559, train_cnt: 5, mutation_cnt: 1
score: 2460.0, reward: 20.0, states: 1460, train_cnt: 5, mutation_cnt: 0
score: 2472.7314814814818, reward: 19.75462962962963, states: 1485, train_cnt: 5, mutation_cnt: 0
score: 2335.5671296296296, reward: 17.81134259259259, states: 1445, train_cnt: 5, mutation_cnt: 1
score: 2466.3263888888887, reward: 19.24652777777778, states: 1504, train_cnt: 5, mutation_cnt: 0
score: 2433.7314814814818, reward: 19.75462962962963, states: 1446, train_cnt: 5, mutation_cnt: 0
score: 2455.4421296296296, reward: 19.74884259259259, states: 1468, train_cnt: 5, mutation_cnt: 0
score: 2517.0, reward: 20.0, states: 1517, train_cnt: 6, mutation_cnt: 1
